model_label,supervision,display_name,folder_name,split,metric,value,ci_low,ci_high,ci_half_width,n_samples,n_bootstrap
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,F1Other,0.13764624913971096,0.0,0.42765502494654317,0.21382751247327159,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,JSD,0.18551057319640724,0.18452055735430314,0.18649951203176504,0.0009894773387309486,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,KLD,0.7597264452740284,0.7547207215299575,0.7647582036168871,0.0050187410434647806,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Valence CCC,0.6741577422234408,0.6685674447505114,0.6797803494703581,0.005606452359923353,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Activation CCC,0.6846474199154404,0.6791608297423736,0.6900752020305435,0.005457186144084969,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Dominance CCC,0.5823412075018713,0.5753627339774285,0.5891581857798239,0.006897725901197693,46286,10000
MH,+W,MH +W,LF_a30_merged_entropy_curriculum_weight_146531,Test1,Mean CCC,0.6470487898802508,0.6426319949176147,0.6513712385939596,0.004369621838172466,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,Macro-F1,28.69427181289148,28.198765069436156,29.203642424758602,0.5024386776612239,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,UAR,29.140766917655203,28.77355737503792,29.51562026978375,0.37103144737291316,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,Accuracy,54.04874043987383,53.59071857581126,54.50033487447609,0.4548081493324141,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,F1Other,1.0796221322537112,0.4048582995951417,1.8894025604551914,0.7422721304300248,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,JSD,0.1900463518990978,0.18901675541759624,0.1910615491049256,0.0010223968436646746,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,KLD,0.7875831089328899,0.7823398401613358,0.7927866284722106,0.0052233941554373775,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,Valence CCC,0.6672316012609579,0.661562785662099,0.67291003675969,0.005673625548795469,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,Activation CCC,0.6794186571410181,0.6738913442486103,0.6849103165911461,0.005509486171267897,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,Dominance CCC,0.5795238799094046,0.5725404037677687,0.5865210298441567,0.006990313038193974,46286,10000
MH,+RW,MH +RW,LF_a30_merged_ec_reversed_weight_norm_150232,Test1,Mean CCC,0.6420580461037936,0.6375984470285813,0.6464618081322344,0.004431680551826578,46286,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test2,Macro-F1,26.29050231401312,25.407731464241696,30.371183447691095,2.481725991724701,14822,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test2,UAR,21.79098446965383,21.064200551533,22.521719254651806,0.7287593515594035,14822,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test2,Accuracy,44.143840237484824,43.334232897044934,44.93995412225071,0.8028606126028875,14822,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test2,F1Other,20.53637031594416,19.08482142857143,21.929674382809093,1.4224264771188322,14822,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test2,JSD,0.3395263518374659,0.33595918930250224,0.34311666936531954,0.0035787400314086504,14822,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test2,KLD,1.7569413280582808,1.727626495506932,1.7864654668321076,0.029419485662587785,14822,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test2,Valence CCC,0.436011745972947,0.42187597018726697,0.44995311688792505,0.014038573350329042,14822,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test2,Activation CCC,0.5070841194054102,0.4941799933116194,0.5195156974355326,0.012667852061956614,14822,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test2,Dominance CCC,0.37627928910929104,0.36211536704821495,0.38970655952128597,0.013795596236535507,14822,10000
H,CE,H CE,20260223_222743_i26_ce_hard,Test2,Mean CCC,0.4397917181625494,0.4296474909655719,0.4495449456618908,0.009948727348159436,14822,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test2,Macro-F1,20.081400855232253,19.586774256534365,25.98494373236416,3.1990847379148994,14822,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test2,UAR,20.146742908666322,19.428003824840253,20.86516778099695,0.7185819780783476,14822,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test2,Accuracy,36.810147078666844,36.020779921737955,37.60626096343274,0.7927405208473903,14822,10000
H,CB,H CB,LF_a30_hard_cbce_147436,Test2,F1Other,33.03936721520138,31.90193944344057,34.177678410661166,1.1378694836102987,14822,10000
